Component,Status,Existing implementation,Canonical input,Code/configuration used,Existing output,Evidence that it is current,Stale dependency if any,Required action,Downstream outputs affected
"real GBM scoring","VERIFIED_CURRENT","Synthetic-trained GBM scored real rank-1 candidates","real_candidate_pairs_reproduced.csv","scripts/test_synthetic_to_real_transfer.py","real_primary_gbm_links.csv; boamp_only_survival_primary_gbm.csv; real_linkage_strategy_summary.csv","Rerun accepts 411 rank-1 links at threshold 0.230964","No real labels; transfer uncertain","Use as primary practical linkage and audit disagreement source","primary event dataset; strategy survival"
"real composite scoring","VERIFIED_CURRENT","Composite scoring and decision rules","real_candidate_pairs_reproduced.csv","scripts/freeze_real_linkage.py; config/pipeline.yaml","decision_rule_summary.csv; boamp_only_survival_baseline_composite_balanced.csv","Rerun accepts 1003 balanced baseline links","none","Use as transparent baseline and broad/conservative sensitivity","baseline and sensitivity event datasets"
"conservative decision rule","VERIFIED_CURRENT","Strict threshold with POTENTIAL removed","real_candidate_pairs_reproduced.csv","scripts/freeze_real_linkage.py","decision_rule_summary.csv; boamp_only_survival_conservative_strict.csv","Rerun accepts 422 links","none","Retain as high-precision sensitivity","survival sensitivity"
"accepted-link outputs","VERIFIED_CURRENT","GBM primary, composite baseline/conservative/broad and logistic sensitivity links","real candidate pairs","scripts/freeze_real_linkage.py; scripts/test_synthetic_to_real_transfer.py","real_linkage_strategy_summary.csv; real_primary_gbm_links.csv; real_supervised_transfer_links.csv","Real scripts reran; link rates match output tables","none","Use current strategy tables only","event datasets; audit sample"
"ambiguity and margin analysis","VERIFIED_CURRENT","Top1-top2 margin and confidence tiers","real candidate pairs","src/boamp/linkage/links.py","decision_rule_summary.csv; real_candidate_pairs_reproduced.csv","Primary has 327 POTENTIAL; no self/non-forward links","none","Prioritise low-margin cases in audit","manual audit; conservative rule"
"manual-audit sample","VERIFIED_CURRENT","100-case strategy-stratified review queue","real candidate pairs, GBM primary and composite baseline decisions","scripts/build_real_audit_sample.py","real_audit_sample_100.csv","Rerun produced GBM/composite agreement and disagreement strata with seed 20260713","Review labels are blank","Complete manual review before real precision/recall claims","real validation"
"event/censoring dataset","VERIFIED_CURRENT","GBM primary, composite baseline/conservative/broad and logistic event datasets","real sources plus accepted links","src/boamp/survival/datasets.py","data/processed/boamp_only/boamp_only_survival_*.csv","Scripts reran; rows=3380 for each exported rule","Real precision/recall not known","Use primary_gbm for main analysis and others for sensitivity","survival analyses"
"sensitivity event datasets","VERIFIED_CURRENT","Window and duration-free sensitivity summaries plus supervised event datasets","real sources and candidate variants","scripts/real_candidate_generator_sensitivity.py; scripts/test_synthetic_to_real_transfer.py","real_candidate_generator_sensitivity.csv; supervised survival CSVs","Rerun produced current link-rate/RMST sensitivity","runtime seconds drift","Report as linkage uncertainty","survival conclusions"
"Kaplan-Meier analysis","VERIFIED_CURRENT","KM/RMST for GBM primary, composite baseline/conservative/broad and logistic sensitivity","event datasets","scripts/real_survival_analysis.py; scripts/test_synthetic_to_real_transfer.py","real_linkage_strategy_survival_headline.csv; survival_headline_by_rule.csv; real_supervised_survival_headline.csv","Rerun reports median not reached and RMST ranges","PDF binary metadata changed on rerun","Use strategy survival CSV as canonical numeric source","survival report"
"Cox or parametric survival analysis","PARTIALLY_IMPLEMENTED","Cox stability for three composite rules","primary/conservative/baseline event datasets","scripts/real_survival_analysis.py","survival_cox_by_rule.csv; cox_hazard_ratio_stability.csv","Rerun fitted all three Cox models","Supervised GBM/logistic Cox not yet fitted","Do not overstate supervised survival inference","survival sensitivity"
"technological classification","PARTIALLY_IMPLEMENTED","Digital/ICT scope and CPV division subgroups","prepared BOAMP corpus","config/pipeline.yaml; boamp.data.prepare","source and survival datasets","Scope present; category_label degenerate in current filtered data","No deeper technology taxonomy/change-point freeze","Continue after linkage audit","trend analysis"
"trend and change-point analyses","PARTIALLY_IMPLEMENTED","Publication-year and subgroup survival summaries exist","survival datasets","scripts/real_survival_analysis.py; notebooks/03_analysis.ipynb","survival_subgroups_by_rule.csv; linked_vs_unlinked_bias.csv","Publication-year censoring bias documented","No frozen change-point output in current freeze","Do survival-scale trend analysis only","internship trend work"
"tables","VERIFIED_CURRENT","Canonical real_linkage_freeze tables","real and frozen synthetic inputs","scripts listed in freeze report","reports/tables/real_linkage_freeze","Core scripts reran; new supervised tables added","runtime seconds and PDF metadata are run-dependent","Use CSVs over prose for headline numbers","reports"
"figures","PARTIALLY_IMPLEMENTED","KM figure for linkage rules","event datasets","scripts/real_survival_analysis.py","reports/figures/real_linkage_freeze/km_by_linkage_rule.*","Figure regenerated; PDF metadata causes git diff","Numeric source is CSV; consider deterministic PDF metadata later","report visuals"
"manifests","PARTIALLY_IMPLEMENTED","freeze_manifest plus benchmark manifests","real and synthetic artifacts","scripts/freeze_real_linkage.py; source_state manifests","freeze_manifest.json; source_state_manifest.json","freeze_manifest reran for real core","freeze_manifest lacks git commit/run id; readiness provenance stale by commits","Add richer run metadata in next pass","provenance"
"reports","PARTIALLY_IMPLEMENTED","README and real freeze decision updated for GBM-primary strategy","canonical tables","manual markdown plus generated tables","README.md; real_linkage_freeze_decision.md","Updated to make GBM the primary practical method while preserving real-accuracy caveats","LaTeX/PDF reports not regenerated","Regenerate final PDFs only after manual audit","project narrative"
"README and reproduction instructions","PARTIALLY_IMPLEMENTED","README includes frozen linkage config and reproduce commands","current repo","README.md; freeze report §8","README.md","Updated GBM-primary strategy status","Some v0.3 legacy text remains historical by design","Keep current; avoid legacy artifacts for decisions","user onboarding"
