parameter_name,definition,estimate_or_range,unit,conditioning_variables,population,provenance,confidence,generator_component,limitations,ready_to_freeze
exact_duplicate_template_rate,Share of non-missing cleaned contract-object text that is an exact literal duplicate of another notice's text.,51.4%,rate,n/a,"full corpus, objet_clean present",EMPIRICAL,HIGH,text_generator,"A lower bound on template reuse (exact string match only, §10); near-duplicate/fuzzy reuse is necessarily higher.",True
key_technical_term_vocabulary_size,Size of the place-name/administrative-stoplist-filtered technical-term vocabulary used for key-term overlap (§15b).,368,count (terms),n/a,full corpus,EMPIRICAL,MEDIUM,text_generator,"An independent CountVectorizer fit (max_features=400, min_df=15) with a fixed stoplist - a heuristic vocabulary, not a validated technical taxonomy.",False
text_similarity_next_cycle_proxy,Median word-TF-IDF cosine similarity for same-provisional-notice-family pairs (proxy for the NEXT_CYCLE relation's own-episode republication text).,1.000,cosine similarity,n/a,within-provisional-notice-family pairs (§10b),EMPIRICAL,MEDIUM,text_corruption_model,"Same notice family means one lifecycle episode, not necessarily a true NEXT_CYCLE renewal (§10b/§15b caveats apply).",True
text_similarity_plausible_recurrence_proxy,Median word-TF-IDF cosine similarity for same-SIRET-same-detailed-CPV pairs (proxy for a plausible NEXT_CYCLE/PARTIAL_RECURRENCE candidate).,0.210,cosine similarity,n/a,"same-buyer-establishment, same-detailed-CPV pairs (§15b)",EMPIRICAL,MEDIUM,text_corruption_model,"A structural comparison group, not a verified recurrence label (§15b).",True
text_similarity_same_buyer_distractor,Median word-TF-IDF cosine similarity for same-buyer-different-CPV-division pairs (the same-buyer distractor group).,0.013,cosine similarity,n/a,"same buyer, different CPV division (§15b)",EMPIRICAL,MEDIUM,text_corruption_model,Deliberately not a recurrence; distractor calibration target only.,True
text_similarity_same_theme_distractor,Median word-TF-IDF cosine similarity for different-buyer-same-CPV pairs (proxy for the SAME_THEME_DIFFERENT_NEED relation).,0.034,cosine similarity,n/a,"different buyer, same detailed CPV (§15b)",EMPIRICAL,MEDIUM,text_corruption_model,Deliberately not a recurrence; distractor calibration target only.,True
text_similarity_unrelated_baseline,"Median word-TF-IDF cosine similarity for different-buyer-different-CPV-division pairs (the true-negative background, proxy for UNRELATED).",0.009,cosine similarity,n/a,"different buyer, different CPV division (§15b)",EMPIRICAL,HIGH,text_corruption_model,The random-pair baseline; every other text-similarity parameter here should be read relative to this one.,True
hard_negative_similarity_threshold,The word-TF-IDF cosine similarity threshold (unrelated-baseline p90) used to mine same-buyer/same-division hard negatives.,0.031,cosine similarity,n/a,different_buyer_different_cpv pairs (§15b),EMPIRICAL,MEDIUM,text_corruption_model,"Anchored to this notebook's own baseline distribution, not an externally validated cutoff (§15b).",True
candidates_per_source_distribution,Median and p90 number of candidates the Layer 1 pipeline generates per eligible source.,"median=3, p90=12",count,n/a,eligible sources with >= 1 candidate,EMPIRICAL,MEDIUM,candidate_environment_generator,"Conditional on the pipeline's own blocking/window/cap (SILVER_STANDARD-adjacent input, not the candidate scores themselves).",True
zero_candidate_source_rate,Share of eligible sources for which blocking generated zero candidates at all.,60.9%,rate,n/a,"boamp_only_sources.csv (n=3,159)",SILVER_STANDARD,MEDIUM,candidate_environment_generator,"A blocking-stage input characteristic (structural censoring, docs/methodology.md limitation #6), not a claim about linker recall.",False
temporal_window_months,The expected-value temporal window used to generate candidates.,6,months,n/a,n/a (a pipeline design constant),LITERATURE_BASED,HIGH,candidate_environment_generator,Derived from a formula that currently collapses to its own floor (config/pipeline.yaml); not an empirical fact about renewal timing.,True
max_candidates_per_source_cap,The maximum number of temporally-nearest candidates kept per source.,30,count,n/a,n/a (a pipeline design constant),LITERATURE_BASED,HIGH,candidate_environment_generator,"A computational-cost cap, not evidence about how many plausible candidates truly exist.",True
followup_evaluable_share_12m_24m,Share of APPEL_OFFRE sources with at least 12 / 24 months of administrative follow-up.,"12m=91.8%, 24m=82.5%",share,n/a,all APPEL_OFFRE sources (§13b),EMPIRICAL,HIGH,censoring_model,By year/segment/buyer-activity/schema/identifier-source breakdown in evaluable_cohorts.csv (§13b).,True
recurrence_relation_type_mix,The mixture of Work Package 10 relation types (NEXT_CYCLE/PARTIAL_RECURRENCE/SPLIT/MERGE/SAME_THEME_DIFFERENT_NEED/UNRELATED/NO_SUCCESSOR) to sample per source.,"e.g. sweep true recurrence prevalence in {10%, 25%, 40%, 60%}","n/a (scenario range, not a point rate)",n/a,n/a (no BOAMP source establishes this),SCENARIO_ASSUMPTION,LOW,recurrence_relation_sampler,"No verified legal-renewal field exists anywhere in BOAMP (§14); §15d's human review is intended to narrow this range, not replace it with a point estimate.",False
split_merge_occurrence_rate,How often a true recurrence takes the SPLIT or MERGE form rather than a clean one-to-one NEXT_CYCLE.,"vary the number of plausible-but-wrong candidates per true link, e.g. {0, 1-2, 3-5, 6+}, informed by §13's future-only candidate-density numbers",n/a (scenario range),n/a,n/a (no BOAMP source establishes this),SCENARIO_ASSUMPTION,LOW,recurrence_relation_sampler,§15d's review strata explicitly include split_or_merge_candidates to inform this range.,False
composite_score_weights,The fixed weights combining s_text/s_cpv/s_time/s_buyer into the pipeline's composite score.,text=0.35; cpv=0.3; time=0.25; buyer=0.1,weight (sums to 1.0),n/a,n/a,LITERATURE_BASED,HIGH,linker_scoring_replica,"Fixed a priori, not fitted (docs/methodology.md §5); only useful to a generator that wants to simulate the linker's own scoring, not as ground truth about recurrence.",True
cpv_similarity_ladder,The fixed CPV-hierarchy similarity score by match level (exact/category/class/group/division/different/missing).,exact=1.0; category=0.8; class=0.6; group=0.4; division=0.2; different=0.0; missing=0.1,score (0-1),n/a,n/a,LITERATURE_BASED,HIGH,linker_scoring_replica,"Also reused directly as this notebook's cpv_change_allowance vocabulary (config/synthetic/recurrence_ontology.yaml, Work Package 10).",True
frozen_link_thresholds,The broad/balanced/strict composite-score thresholds used for link acceptance.,"broad=0.2642, balanced=0.323022, strict=0.3931",composite score (0-1),n/a,n/a,LITERATURE_BASED,HIGH,linker_scoring_replica,"Percentile conventions derived once from Layer 1's own rank-1 score distribution, not independently validated cutoffs (docs/methodology.md §5).",True
