parameter_name,definition,generator_component,provenance,ready_to_freeze,action,source_table,conditioning_variables,unit,limitations,notes
duration_imputation_rate,Share of the pipeline's own eligible-source scope with an imputed (not observed) duration.,duration_generator,EMPIRICAL,True,USE_AS_FIDELITY_TARGET,parameter_inventory.csv,,rate,"The highest-leverage assumption in the whole pipeline (docs/methodology.md §2); imputation itself uses median-by-CPV-division, not a distribution draw.","Scoped to the pipeline's own eligible-source subset (APPEL_OFFRE & is_digital_scope); use as a secondary fidelity check on the *prepared* corpus's imputation behaviour, not as a v0.1 corruption-injection input (use duration_missing_rate, full-corpus, for that)."
hard_negative_similarity_threshold,The word-TF-IDF cosine similarity threshold (unrelated-baseline p90) used to mine same-buyer/same-division hard negatives.,text_corruption_model,EMPIRICAL,True,USE_AS_FIDELITY_TARGET,parameter_inventory.csv,,cosine similarity,"Anchored to this notebook's own baseline distribution, not an externally validated cutoff (§15b).","Anchored to this notebook's own baseline distribution, not externally validated; fidelity target only."
key_technical_term_vocabulary_size,Size of the place-name/administrative-stoplist-filtered technical-term vocabulary used for key-term overlap (§15b).,text_generator,EMPIRICAL,False,USE_AS_FIDELITY_TARGET,parameter_inventory.csv,,count (terms),"An independent CountVectorizer fit (max_features=400, min_df=15) with a fixed stoplist - a heuristic vocabulary, not a validated technical taxonomy.","A heuristic CountVectorizer vocabulary size (not a validated technical taxonomy); use only to loosely size the synthetic technical-term vocabulary, then check emergent text overlap against it."
text_similarity_plausible_recurrence_proxy,Median word-TF-IDF cosine similarity for same-SIRET-same-detailed-CPV pairs (proxy for a plausible NEXT_CYCLE/PARTIAL_RECURRENCE candidate).,text_corruption_model,EMPIRICAL,True,USE_AS_FIDELITY_TARGET,parameter_inventory.csv,,cosine similarity,"A structural comparison group, not a verified recurrence label (§15b).","Structural comparison group (same-SIRET/same-detailed-CPV pairs), not verified recurrence truth; use as a text-generation fidelity target only."
text_similarity_same_buyer_distractor,Median word-TF-IDF cosine similarity for same-buyer-different-CPV-division pairs (the same-buyer distractor group).,text_corruption_model,EMPIRICAL,True,USE_AS_FIDELITY_TARGET,parameter_inventory.csv,,cosine similarity,Deliberately not a recurrence; distractor calibration target only.,"Distractor calibration target for hard-negative text generation, not a truth parameter."
text_similarity_same_theme_distractor,Median word-TF-IDF cosine similarity for different-buyer-same-CPV pairs (proxy for the SAME_THEME_DIFFERENT_NEED relation).,text_corruption_model,EMPIRICAL,True,USE_AS_FIDELITY_TARGET,parameter_inventory.csv,,cosine similarity,Deliberately not a recurrence; distractor calibration target only.,"Distractor calibration target for SAME_THEME_DIFFERENT_NEED-style hard-negative text, not used in v0.1 (v0.1 ontology has no SAME_THEME_DIFFERENT_NEED relation) but retained as a text-realism fidelity target."
text_similarity_unrelated_baseline,"Median word-TF-IDF cosine similarity for different-buyer-different-CPV-division pairs (the true-negative background, proxy for UNRELATED).",text_corruption_model,EMPIRICAL,True,USE_AS_FIDELITY_TARGET,parameter_inventory.csv,,cosine similarity,The random-pair baseline; every other text-similarity parameter here should be read relative to this one.,True-negative background similarity target for background/hard-negative text generation.
zero_candidate_source_rate,Share of eligible sources for which blocking generated zero candidates at all.,candidate_environment_generator,SILVER_STANDARD,False,USE_AS_FIDELITY_TARGET,parameter_inventory.csv,,rate,"A blocking-stage input characteristic (structural censoring, docs/methodology.md limitation #6), not a claim about linker recall.","SILVER_STANDARD / algorithm-conditioned; fidelity target only, per the same reasoning."
buyer_activity_gini,"Gini coefficient, notices per buyer_key",section_5,OBSERVABLE,True,USE_DIRECTLY,data/interim/boamp_common_prepared.csv,unconditional,unitless (0-1),"buyer_key is BOAMP-native identity (SIRET/SIREN/name fallback); NAME_FALLBACK buyers aggregate multiple real entities under one key, inflating apparent concentration.",figure_or_table_ref=calib_buyer_activity_distribution.png
buyer_activity_tier_mix,Share of notices by buyer activity tier (count of notices published by the same buyer_key).,population_sampler,EMPIRICAL,True,USE_DIRECTLY,parameter_inventory.csv,,share,"Highly right-skewed (Gini reported in §5); tier bins are a modeling convenience, not a natural break.",
buyer_name_ambiguity_rate,Share of normalized buyer names that map to more than one distinct SIRET or SIREN (false-merge risk).,buyer_identity_generator,EMPIRICAL,True,USE_DIRECTLY,parameter_inventory.csv,,rate,Detailed examples/classification in calib_buyer_name_ambiguity_examples.csv (§7).,
buyer_name_transformation_mix,Likely buyer-name transformation labels,section_7,OBSERVABLE,True,USE_DIRECTLY,data/interim/boamp_common_prepared.csv,SIRET/SIREN identities with >1 normalized name,name-pair count,"Transformation labels are heuristic and can overlap; use them as generator corruption modes, not verified legal-name-change annotations.",figure_or_table_ref=buyer_name_transformations.csv
buyer_name_variation_rate,Share of validated SIRETs that appear under more than one distinct normalized buyer name (false-split risk).,buyer_identity_generator,EMPIRICAL,True,USE_DIRECTLY,parameter_inventory.csv,,rate,"Name-transformation classification (legal-suffix removal, acronym, location-added, etc.) in calib_buyer_name_transformation_counts.csv (§7).",
buyer_name_variation_siren,Normalized names per reliable SIREN identity,section_7,OBSERVABLE,True,USE_DIRECTLY,data/interim/boamp_common_prepared.csv,by SIREN identity and activity level,count/similarity,"SIREN is the legal-unit identity; it can legitimately aggregate several establishments or service renderings, so variation is not automatically an error.",figure_or_table_ref=buyer_name_variation_siren.csv
buyer_name_variation_siret,Normalized names per reliable SIRET identity,section_7,OBSERVABLE,True,USE_DIRECTLY,data/interim/boamp_common_prepared.csv,by SIRET identity and activity level,count/similarity,SIRET is the establishment-level identity; variation here estimates false splitting risk among the most specific reliable BOAMP-native buyer identifiers.,figure_or_table_ref=buyer_name_variation_siret.csv
call_to_award_delay_distribution,Call-to-award delay distribution in provisional notice families,section_10b,OBSERVABLE,True,USE_DIRECTLY,data/interim/boamp_common_prepared.csv,award notices with an observed call in the same provisional family,days/months,"Delays use first observed call in the corpus, so missing historical calls can make some award-linked families look incomplete; negative or >24-month delays are flagged, not dropped.",figure_or_table_ref=call_to_award_delays.csv
candidate_environment_future_only,Future-only candidate counts per source notice,section_13,OBSERVABLE,True,USE_DIRECTLY,"data/interim/boamp_common_prepared.csv; data/processed/{boamp_only,enriched}/*_candidate_pairs.csv",by environment x horizon x source strata,count,Ambient and BOAMP-native buyer-compatible rows are observable corpus-density measures; production rows are included only as capped-pool diagnostics and must not be used as ground truth links.,figure_or_table_ref=candidate_environment_future_only.csv
candidate_environment_quantiles,Candidate count quantiles under future-only environments,section_13,OBSERVABLE,True,USE_DIRECTLY,candidate_environment_future_only.csv,overall + identity source + buyer activity + schema + year + CPV + duration + digital segment,count/quantile,The synthetic generator should reproduce conditional candidate difficulty; production-layer summaries in the same table remain diagnostics because they inherit pipeline blocking and caps. Notice-family counts are exact for production pairs and left missing for broad future environments to avoid materializing all ambient pairs.,figure_or_table_ref=candidate_environment_quantiles.csv
candidate_filter_decomposition,Candidate count removed by each production filter,section_13,OBSERVABLE,True,USE_DIRECTLY,data/interim/boamp_common_prepared.csv; data/processed/boamp_only/boamp_only_sources.csv; data/processed/boamp_only/boamp_only_candidate_pairs.csv,Layer 1 production sources; 60m ambient baseline to capped production pool,count removed,"The current pipeline has no hard CPV filter; CPV enters scoring, so the CPV stage intentionally removes zero candidates and documents that design choice.",figure_or_table_ref=candidate_filter_decomposition.csv
corpus_size,"Total notices in the prepared, layer-neutral corpus.",population_sampler,EMPIRICAL,True,USE_DIRECTLY,parameter_inventory.csv,,count,"Extraction-window corpus (2015-2026), not a claim about BOAMP nationally beyond it.",
cpv_division_distribution_top5,Share of notices in the 5 most common CPV divisions.,population_sampler,EMPIRICAL,True,USE_DIRECTLY,parameter_inventory.csv,,share,"Full CPV distribution (45 observed divisions) is in calib_cpv_division_coverage.csv (§2); top-5 only, for a compact generator prior.",
cpv_missing_and_generic_rates,"Share of notices with a missing CPV code, and share with a present-but-generic CPV code.",missingness_injector,EMPIRICAL,True,USE_DIRECTLY,parameter_inventory.csv,,rate,Mutually exclusive by construction (§15c); their negative correlation is partly mechanical.,
cpv_missing_rate,CPV code missing rate,section_8,OBSERVABLE,True,USE_DIRECTLY,data/interim/boamp_common_prepared.csv,marginal + by year/schema/notice type/department/buyer activity/identifier source,rate,cpv_clean requires exact 8-digit format. Multiple CPV candidates are retained in the flattened candidate list but prepared cpv_clean uses the first valid token. 2015 and 2026 rows in the by-year breakdown are PARTIAL years.,figure_or_table_ref=calib_cpv_missingness_by_conditioning.csv
department_distribution_top5,"Share of notices by primary department code, top 5.",population_sampler,EMPIRICAL,True,USE_DIRECTLY,parameter_inventory.csv,,share,Corpus is Pays-de-Loire-download-scoped but not PDL-filtered here (§12); other departments appear via cross-department notices.,
dept_coverage,"Notice share by department (multi-valued, exploded)",section_2,OBSERVABLE,True,USE_DIRECTLY,data/interim/boamp_common_prepared.csv,"marginal, by department",share,code_departement can list several departments per notice; shares sum to >1.,figure_or_table_ref=calib_department_coverage.csv
duration_missing_rate,Share of notices with no raw duration field at all.,missingness_injector,EMPIRICAL,True,USE_DIRECTLY,parameter_inventory.csv,,rate,"Full-corpus rate; the pipeline's own imputation rate over its eligible-source scope is a separate, smaller-population figure (see duration_imputation_rate below).",
duration_present_rate_full_corpus,"Duration field present, full corpus",section_9,OBSERVABLE,True,USE_DIRECTLY,data/interim/boamp_common_prepared.csv,marginal + conditional,rate,"Distinct from the pipeline's 88%-imputed figure, which is computed only over the APPEL_OFFRE & digital-scope eligible-source subset, not the full corpus. 2015 and 2026 rows in the by-year breakdown are PARTIAL years.",figure_or_table_ref=calib_duration_quality_summary.csv
eforms_cpv_parser_discontinuity,eForms CPV parser discontinuity and recovery,section_8,OBSERVABLE,True,USE_DIRECTLY,data/raw/boamp/pdl/boamp_*.json,raw source vs flattened vs cleaned prepared; by schema/year/eForms notice type,rate,The old parser missed eForms UBL commodity-classification paths; after correction no eForms CPV is classified as genuinely absent in the current raw corpus. Downstream CPV-dependent linkage outputs still need regeneration.,figure_or_table_ref=eforms_cpv_recovery.csv
evaluable_cohorts,"12-month, 24-month, and full-survival-cohort populations, by year/segment/buyer-activity/schema/identifier-source",section_13b,OBSERVABLE,True,USE_DIRECTLY,data/interim/boamp_common_prepared.csv,by cohort x stratum_dim x stratum_value,count / share,"full_survival_cohort has no fixed horizon by construction (every source belongs, right-censored at study end if unlinked), so its own admin_censoring_rate is trivially 0 everywhere; it is included as a population definition, not as a horizon-based exclusion like the 12/24-month cohorts.",figure_or_table_ref=evaluable_cohorts.csv
exact_duplicate_template_rate,Share of non-missing cleaned contract-object text that is an exact literal duplicate of another notice's text.,text_generator,EMPIRICAL,True,USE_DIRECTLY,parameter_inventory.csv,,rate,"A lower bound on template reuse (exact string match only, §10); near-duplicate/fuzzy reuse is necessarily higher.",
field_completeness_marginal,"Non-null rate, all 94 columns",section_3,OBSERVABLE,True,USE_DIRECTLY,data/interim/boamp_common_prepared.csv,marginal,rate,Includes both raw and derived columns; see §16b calib_data_lineage.csv for which fields are RAW vs CLEANED vs DERIVED vs IMPUTED.,figure_or_table_ref=calib_field_completeness_marginal.csv
followup_availability,Per-source follow-up time and 12/24/36/60-month evaluability flags (Work Package 9),section_13b,OBSERVABLE,True,USE_DIRECTLY,data/interim/boamp_common_prepared.csv,by source notice,months / boolean,"Covers all APPEL_OFFRE sources regardless of digital scope (scope is a conditioning dimension, not a pre-filter, per §12); F_i is administrative follow-up only, independent of whether the pipeline actually linked the source to a later notice.",figure_or_table_ref=followup_availability.csv
followup_evaluable_share_12m_24m,Share of APPEL_OFFRE sources with at least 12 / 24 months of administrative follow-up.,censoring_model,EMPIRICAL,True,USE_DIRECTLY,parameter_inventory.csv,,share,By year/segment/buyer-activity/schema/identifier-source breakdown in evaluable_cohorts.csv (§13b).,
generic_buyer_name_share,"Share of normalized buyer names matching the generic-institutional stoplist (mairie, commune, etc.).",buyer_identity_generator,EMPIRICAL,True,USE_DIRECTLY,parameter_inventory.csv,,rate,"Stoplist itself (config/pipeline.yaml enrichment.alias_bridge.generic_names) is a fixed list, not learned; extending it would change this rate.",
human_review_queue_wp11,Blinded human-review queue sampled from 8 strata (Work Package 11),section_15d,OBSERVABLE,True,USE_DIRECTLY,data/processed/boamp_only/*; data/processed/enriched/*; data/interim/boamp_common_prepared.csv,by review_stratum,n/a (unlabeled sample),"This section produces zero labels - it only builds the queue a human still has to review. Scores/confidence tier/layer are held out of the blinded file and kept only in the technical join table, to avoid anchoring the reviewer on the pipeline's own decision (same practice as reports/final_single_reviewer_audit_guide.md).",figure_or_table_ref=human_review_queue_blinded.csv; human_review_queue_technical_join.csv
identifier_missing_rate,Share of notices with neither a valid SIRET nor SIREN (falls back to name-based identity).,missingness_injector,EMPIRICAL,True,USE_DIRECTLY,parameter_inventory.csv,,rate,"In this corpus, empirically identical to buyer_key_type == NAME_FALLBACK (§15c).",
identifier_source_marginal,buyer_identifier_source distribution,section_6,OBSERVABLE,True,USE_DIRECTLY,data/interim/boamp_common_prepared.csv,marginal,share,RAW_SIRET_FIELD/RAW_SIREN_FIELD/DERIVED_FROM_SIRET/NONE; format+Luhn checksum validated.,figure_or_table_ref=calib_identifier_quality_summary.csv
key_field_completeness_by_year,Completeness of key fields by year,section_3,OBSERVABLE,True,USE_DIRECTLY,data/interim/boamp_common_prepared.csv,by publication_year,rate,"Trend, not a validated forecast; 2015 and 2026 are PARTIAL years.",figure_or_table_ref=calib_field_completeness_heatmap.png
missingness_conditional_models_wp8,Per-flag L2-penalized logistic regression (odds ratios) with one schema x notice_type interaction,section_15c,OBSERVABLE,True,USE_DIRECTLY,data/interim/boamp_common_prepared.csv,by flag x term,coefficient / odds ratio,"Coefficients are L2-regularized point estimates, not inferential p-values (no statsmodels dependency was introduced); AUC is computed on the training population, not held out, so it is a fit-quality diagnostic, not a generalization estimate.",figure_or_table_ref=missingness_conditional_models.csv
missingness_conditional_rates_wp8,Conditional missingness rates by schema/notice-type/year/CPV/buyer-activity/department,section_15c,OBSERVABLE,True,USE_DIRECTLY,data/interim/boamp_common_prepared.csv,by stratum_dim x stratum_value (and schema x notice_type jointly),rate,"Marginal-by-dimension tables condition on one variable at a time; only the schema x notice_type table is a genuine 2-way conditional view, which is what the §11 'Reasoning' example (legacy/eForms CPV-vs-duration trade-off) actually requires.",figure_or_table_ref=calib_missingness_conditional_rates.csv; calib_missingness_by_schema_notice_type.csv
missingness_issue_count_and_upset_wp8,Top co-occurring quality-flag combinations and per-notice issue-count distribution,section_15c,OBSERVABLE,True,USE_DIRECTLY,data/interim/boamp_common_prepared.csv,top 15 combinations; issue count 0-7,count,Restricted to the 7 flags defined on the full corpus so every notice contributes exactly one combination; award_link_unresolved is excluded from the combination signature for the same reason it is population-restricted elsewhere in this notebook.,figure_or_table_ref=calib_missingness_upset_combinations.csv; calib_missingness_issue_count_distribution.csv
missingness_joint_pattern_lifts,Observed co-occurrence lift (joint rate / expected-if-independent) for 5 named quality-issue bundles.,missingness_injector,EMPIRICAL,True,USE_DIRECTLY,parameter_inventory.csv,n/a (one row per named pattern),lift (ratio),One pattern (name_fallback_and_large_candidate_pool) is SILVER_STANDARD-sourced (see §15c); the other 4 are EMPIRICAL.,
missingness_joint_patterns_wp8,"Five named co-occurring quality-issue patterns (rate, expected-under-independence, lift)",section_15c,OBSERVABLE,True,USE_DIRECTLY,data/interim/boamp_common_prepared.csv,5 named patterns,rate / lift,unresolved_award_and_missing_contractor uses ATTRIBUTION-only fields (titulaire/annonce_lie) and is a different 'unresolved award' direction than §11's award_link_unresolved (which is about APPEL_OFFRE notices never receiving a resolved start date); the two must not be conflated.,figure_or_table_ref=missingness_joint_patterns.csv
missingness_marginal_and_phi_wp8,Marginal rates and phi-correlation among 7 quality flags (Work Package 8),section_15c,OBSERVABLE,True,USE_DIRECTLY,data/interim/boamp_common_prepared.csv,marginal + pairwise,rate / correlation (-1..1),"cpv_missing and cpv_generic are mutually exclusive states of the same field (cpv_generic_flag is False, not NaN, whenever CPV is absent), so their negative correlation is partly mechanical, not purely empirical; award_link_unresolved is APPEL_OFFRE-only (NaN elsewhere), matching §11's population restriction; name_fallback is excluded here (empirically identical to identifier_missing in this corpus, correlation exactly 1.0 - buyer_key_type takes only RAW_SIRET/NAME_FALLBACK values here, no RAW_SIREN rows observed) and kept only as an auxiliary flag for its one named joint pattern (next section).",figure_or_table_ref=missingness_marginal_rates.csv; missingness_phi_matrix.csv
missingness_marginal_rates,Marginal rate of each of the 5 quality flags,section_11,OBSERVABLE,True,USE_DIRECTLY,data/interim/boamp_common_prepared.csv,marginal,rate,"award_link_unresolved is defined (non-NaN) only for APPEL_OFFRE notices; its rate is over that subset, not the full corpus. name_fallback was dropped as a deterministic subset of siret_or_siren_missing; see calib_buyer_name_variation_summary.csv (§7) instead.",figure_or_table_ref=calib_missingness_marginal_rates.csv
missingness_phi_matrix,Phi-coefficient correlation among 5 quality flags,section_11,OBSERVABLE,True,USE_DIRECTLY,data/interim/boamp_common_prepared.csv,marginal + by year/schema/dept/cpv/buyer_activity,correlation (-1..1),"name_fallback excluded: it was a deterministic subset of siret_or_siren_missing (construction artifact, not an empirical association); award_link_unresolved correlations are computed pairwise over its APPEL_OFFRE-only non-NaN population.",figure_or_table_ref=calib_missingness_correlation_heatmap.png
missingness_schema_notice_type_conditioning,How identifier/duration/CPV-missingness rates shift by schema x notice type - the key schema-artifact check.,missingness_injector,EMPIRICAL,True,USE_DIRECTLY,parameter_inventory.csv,"schema_family, notice_type_normalized",rate,Full breakdown (7 flags x 2 schemas x 3 notice types) in calib_missingness_by_schema_notice_type.csv (§15c); this row is a compact headline pair only.,
n_total_notices,Total notices in prepared corpus,section_1,OBSERVABLE,True,USE_DIRECTLY,data/interim/boamp_common_prepared.csv,unconditional,count,"Full corpus, all sectors, all notice types, not scope-filtered.",figure_or_table_ref=nan
notice_family_size_distribution,Provisional notice-family size distribution,section_10b,OBSERVABLE,True,USE_DIRECTLY,data/interim/boamp_common_prepared.csv,by provisional notice family,count/share,"Provisional lifecycle grouping only: designed to represent one procurement episode producing one or several observed notices, not later cycles for a similar need.",figure_or_table_ref=notice_family_size_distribution.csv
notice_family_text_cpv_agreement,Text similarity and CPV agreement within provisional notice families,section_10b,OBSERVABLE,True,USE_DIRECTLY,data/interim/boamp_common_prepared.csv,within-family pairs vs outside-family same-buyer window sample,similarity/share,"Outside-family comparator is a bounded same-buyer/date-window sample, not a global non-match population; it is intended as a plausibility contrast for family grouping.",figure_or_table_ref=notice_family_text_similarity_comparison.csv
notice_lifecycle_transition_counts,Lifecycle transition counts within provisional notice families,section_10b,OBSERVABLE,True,USE_DIRECTLY,data/interim/boamp_common_prepared.csv,"by source role, target role, edge type",edge count,Role labels are derived from BOAMP notice status/category fields and collapse rare follow-up forms into FOLLOW_UP.,figure_or_table_ref=notice_lifecycle_transitions.csv
notice_type_by_year,Notice type composition by year,section_2,OBSERVABLE,True,USE_DIRECTLY,data/interim/boamp_common_prepared.csv,by year,count,"notice_type_normalized collapses rare types to OTHER; 2015 and 2026 are PARTIAL years (see calib_year_completeness_status.csv), not full-year counts.",figure_or_table_ref=calib_notice_type_by_year.csv
notice_type_mix,Share of notices by notice_type_normalized.,population_sampler,EMPIRICAL,True,USE_DIRECTLY,parameter_inventory.csv,,share,"OTHER is a small, heterogeneous residual category (modification/cancellation/etc.).",
schema_family_mix,Share of notices published under the LEGACY vs eForms XML schema.,population_sampler,EMPIRICAL,True,USE_DIRECTLY,parameter_inventory.csv,,share,eForms share will keep rising after this extraction window; not a stationary process.,
schema_transition_shift,LEGACY vs EFORMS field completeness delta,section_4,OBSERVABLE,True,USE_DIRECTLY,data/interim/boamp_common_prepared.csv,by schema_family,percentage points,schema_family is detected heuristically from the raw donnees payload (src/utils/boamp_schema.py); not a declared field. The trailing quarters of 2026 are within the PARTIAL year and should not be read as a completed-year trend.,figure_or_table_ref=calib_schema_transition_shift.csv
scope_conditioning_crosstab,Quality metrics split by digital-scope / PDL-scope eligibility,section_12,OBSERVABLE,True,USE_DIRECTLY,data/interim/boamp_common_prepared.csv,"by is_digital_scope, is_in_pdl",rate,is_digital_scope combines a CPV-division rule with a French keyword search over objet_normalized (config/pipeline.yaml scope block); it is a scope-tagging heuristic.,figure_or_table_ref=calib_scope_conditioning_crosstab.csv
