parameter_id,parameter_name,tier,value_or_range,unit,stratification,source_file,source_columns,computation_method,n_obs,notebook_section,figure_or_table_ref,caveat,generator_use_status
buyer_name_variation_siret,Normalized names per reliable SIRET identity,OBSERVABLE,see table,count/similarity,by SIRET identity and activity level,data/interim/boamp_common_prepared.csv,"buyer_siret_clean,buyer_name_raw,buyer_name_normalized,publication_year,publication_date","groupby SIRET; count raw/normalized names, active years, notices, earliest/latest forms and name-pair similarities",1689,7,buyer_name_variation_siret.csv,SIRET is the establishment-level identity; variation here estimates false splitting risk among the most specific reliable BOAMP-native buyer identifiers.,CALIBRATE
buyer_name_variation_siren,Normalized names per reliable SIREN identity,OBSERVABLE,see table,count/similarity,by SIREN identity and activity level,data/interim/boamp_common_prepared.csv,"buyer_siren_clean,buyer_name_raw,buyer_name_normalized,publication_year,publication_date","groupby SIREN; count raw/normalized names, active years, notices, earliest/latest forms and name-pair similarities",1506,7,buyer_name_variation_siren.csv,"SIREN is the legal-unit identity; it can legitimately aggregate several establishments or service renderings, so variation is not automatically an error.",CALIBRATE
buyer_name_transformation_mix,Likely buyer-name transformation labels,OBSERVABLE,see table,name-pair count,SIRET/SIREN identities with >1 normalized name,data/interim/boamp_common_prepared.csv,"buyer_name_raw,buyer_name_normalized,buyer_siret_clean,buyer_siren_clean,publication_date","heuristic pairwise classification: punctuation/accent, legal suffix, abbreviation, acronym, location/service tokens, establishment/legal-unit, token reorder, historical change",15700,7,buyer_name_transformations.csv,"Transformation labels are heuristic and can overlap; use them as generator corruption modes, not verified legal-name-change annotations.",CALIBRATE
eforms_cpv_parser_discontinuity,eForms CPV parser discontinuity and recovery,OBSERVABLE,0.0% -> 100.0%,rate,raw source vs flattened vs cleaned prepared; by schema/year/eForms notice type,data/raw/boamp/pdl/boamp_*.json,donnees EFORMS ... ItemClassificationCode/#text,"notebook §8 recreates old path-containing-'cpv' parser, compares with current extractor, and validates against prepared cpv_clean",10682,8,eforms_cpv_recovery.csv,The old parser missed eForms UBL commodity-classification paths; after correction no eForms CPV is classified as genuinely absent in the current raw corpus. Downstream CPV-dependent linkage outputs still need regeneration.,CALIBRATE
cpv_missing_rate,CPV code missing rate,OBSERVABLE,0.1706,rate,marginal + by year/schema/notice type/department/buyer activity/identifier source,data/interim/boamp_common_prepared.csv,"cpv_missing,cpv_generic_flag",src/boamp/data/prepare.py cpv cleaning after eForms ItemClassificationCode recovery; mean of boolean flags,84623,8,calib_cpv_missingness_by_conditioning.csv,cpv_clean requires exact 8-digit format. Multiple CPV candidates are retained in the flattened candidate list but prepared cpv_clean uses the first valid token. 2015 and 2026 rows in the by-year breakdown are PARTIAL years.,CALIBRATE
duration_present_rate_full_corpus,"Duration field present, full corpus",OBSERVABLE,0.1365,rate,marginal + conditional,data/interim/boamp_common_prepared.csv,duration_raw,"notna mean, full corpus (not scope-filtered)",84623,9,calib_duration_quality_summary.csv,"Distinct from the pipeline's 82.7%-imputed figure, which is computed only over the APPEL_OFFRE & digital-scope eligible-source subset, not the full corpus. 2015 and 2026 rows in the by-year breakdown are PARTIAL years.",CALIBRATE
text_exact_duplicate_rate,Exact-duplicate objet_clean rate,OBSERVABLE,0.5143,rate,among non-missing text,data/interim/boamp_common_prepared.csv,objet_clean,duplicated(keep=False).mean(),84622,10,calib_text_exact_duplicate_rate.csv,"Exact-string duplication only; near-duplicate detection via fuzzy/semantic similarity would find a higher rate (no such detector is run in this notebook). This is a lower bound on text-based candidate ambiguity, not an estimate of the true near-duplicate rate.",CALIBRATE
notice_family_size_distribution,Provisional notice-family size distribution,OBSERVABLE,see table,count/share,by provisional notice family,data/interim/boamp_common_prepared.csv,"notice_id,annonce_lie,annonces_anterieures,buyer_key,publication_date,objet_normalized,cpv_clean,notice_type_normalized,etat","graph components from explicit references, award links, bounded exact-text edges, and bounded high-similarity edges",57417,10b,notice_family_size_distribution.csv,"Provisional lifecycle grouping only: designed to represent one procurement episode producing one or several observed notices, not later cycles for a similar need.",CALIBRATE
notice_lifecycle_transition_counts,Lifecycle transition counts within provisional notice families,OBSERVABLE,see table,edge count,"by source role, target role, edge type",data/interim/boamp_common_prepared.csv,"nature_categorise,etat,annonce_lie,annonces_anterieures,linked_attribution_notice_id",edge table grouped by lifecycle role and edge evidence,68734,10b,notice_lifecycle_transitions.csv,Role labels are derived from BOAMP notice status/category fields and collapse rare follow-up forms into FOLLOW_UP.,CALIBRATE
call_to_award_delay_distribution,Call-to-award delay distribution in provisional notice families,OBSERVABLE,see table,days/months,award notices with an observed call in the same provisional family,data/interim/boamp_common_prepared.csv,"publication_date,notice_type_normalized,notice_family_id",award publication date minus earliest CALL publication date in the same provisional family,19091,10b,call_to_award_delays.csv,"Delays use first observed call in the corpus, so missing historical calls can make some award-linked families look incomplete; negative or >24-month delays are flagged, not dropped.",CALIBRATE
notice_family_text_cpv_agreement,Text similarity and CPV agreement within provisional notice families,OBSERVABLE,see table,similarity/share,within-family pairs vs outside-family same-buyer window sample,data/interim/boamp_common_prepared.csv,"objet_normalized,cpv_clean,cpv_division,notice_family_id,buyer_key,publication_date",TF-IDF cosine similarity and CPV agreement over within-family pairs compared with a bounded outside-family same-buyer sample,53912,10b,notice_family_text_similarity_comparison.csv,"Outside-family comparator is a bounded same-buyer/date-window sample, not a global non-match population; it is intended as a plausibility contrast for family grouping.",CALIBRATE
missingness_marginal_rates,Marginal rate of each of the 5 quality flags,OBSERVABLE,see table,rate,marginal,data/interim/boamp_common_prepared.csv,"buyer_siret_clean,buyer_siren_clean,cpv_missing,cpv_generic_flag,duration_raw,objet_clean,text_length,start_date_source,notice_type_normalized",mean of 0/1 flags (NaN-skipping),84623,11,calib_missingness_marginal_rates.csv,"award_link_unresolved is defined (non-NaN) only for APPEL_OFFRE notices; its rate is over that subset, not the full corpus. name_fallback was dropped as a deterministic subset of siret_or_siren_missing; see calib_buyer_name_variation_summary.csv (§7) instead.",CALIBRATE
missingness_phi_matrix,Phi-coefficient correlation among 5 quality flags,OBSERVABLE,see table,correlation (-1..1),marginal + by year/schema/dept/cpv/buyer_activity,data/interim/boamp_common_prepared.csv,"buyer_siret_clean,buyer_siren_clean,cpv_missing,cpv_generic_flag,duration_raw,objet_clean,text_length,start_date_source,notice_type_normalized","Pearson correlation on 0/1 flags (= phi coefficient), pairwise-complete",84623,11,calib_missingness_correlation_heatmap.png,"name_fallback excluded: it was a deterministic subset of siret_or_siren_missing (construction artifact, not an empirical association); award_link_unresolved correlations are computed pairwise over its APPEL_OFFRE-only non-NaN population.",CALIBRATE
scope_conditioning_crosstab,Quality metrics split by digital-scope / PDL-scope eligibility,OBSERVABLE,see table,rate,"by is_digital_scope, is_in_pdl",data/interim/boamp_common_prepared.csv,"is_digital_scope,is_in_pdl","groupby, mean of quality flags",84623,12,calib_scope_conditioning_crosstab.csv,is_digital_scope combines a CPV-division rule with a French keyword search over objet_normalized (config/pipeline.yaml scope block); it is a scope-tagging heuristic.,CALIBRATE
candidate_environment_future_only,Future-only candidate counts per source notice,OBSERVABLE,see table,count,by environment x horizon x source strata,"data/interim/boamp_common_prepared.csv; data/processed/{boamp_only,enriched}/*_candidate_pairs.csv","notice_id,publication_date,buyer identifiers,notice_type_normalized,is_digital_scope,cpv_division","strict future search (t_j > t_i), grouped searchsorted counts, production exports for capped pools",1480960,13,candidate_environment_future_only.csv,Ambient and BOAMP-native buyer-compatible rows are observable corpus-density measures; production rows are included only as capped-pool diagnostics and must not be used as ground truth links.,CALIBRATE
candidate_environment_quantiles,Candidate count quantiles under future-only environments,OBSERVABLE,see table,count/quantile,overall + identity source + buyer activity + schema + year + CPV + duration + digital segment,candidate_environment_future_only.csv,"candidate_count,zero_candidate,time_to_first_candidate_days,candidate_notice_family_count","groupby environment/horizon/strata, median/p75/p90/p95/p99/max and zero-candidate rates; candidate_notice_family_count is exact for materialized production pairs",2281,13,candidate_environment_quantiles.csv,The synthetic generator should reproduce conditional candidate difficulty; production-layer summaries in the same table remain diagnostics because they inherit pipeline blocking and caps. Notice-family counts are exact for production pairs and left missing for broad future environments to avoid materializing all ambient pairs.,CALIBRATE
candidate_filter_decomposition,Candidate count removed by each production filter,OBSERVABLE,see table,count removed,Layer 1 production sources; 60m ambient baseline to capped production pool,data/interim/boamp_common_prepared.csv; data/processed/boamp_only/boamp_only_sources.csv; data/processed/boamp_only/boamp_only_candidate_pairs.csv,"notice_type_normalized,is_digital_scope,buyer_key,estimated_end_date,candidate_rank","stagewise counts after relevant notice type, digital scope, CPV scoring-only note, buyer blocking, expected-end temporal rule, and cap",23660,13,candidate_filter_decomposition.csv,"The current pipeline has no hard CPV filter; CPV enters scoring, so the CPV stage intentionally removes zero candidates and documents that design choice.",CALIBRATE
followup_availability,Per-source follow-up time and 12/24/36/60-month evaluability flags (Work Package 9),OBSERVABLE,see table,months / boolean,by source notice,data/interim/boamp_common_prepared.csv,"notice_id,publication_date,notice_type_normalized","F_i = (study_end_date - publication_date_i) in months; study_end_date = max(publication_date) over the full corpus, matching build_source_population (src/boamp/data/prepare.py)",58292,13b,followup_availability.csv,"Covers all APPEL_OFFRE sources regardless of digital scope (scope is a conditioning dimension, not a pre-filter, per §12); F_i is administrative follow-up only, independent of whether the pipeline actually linked the source to a later notice.",CALIBRATE
evaluable_cohorts,"12-month, 24-month, and full-survival-cohort populations, by year/segment/buyer-activity/schema/identifier-source",OBSERVABLE,see table,count / share,by cohort x stratum_dim x stratum_value,data/interim/boamp_common_prepared.csv,"publication_date,publication_year,schema_family,buyer_activity_tier,buyer_key_type,buyer_identifier_source,is_digital_scope",evaluable_share = n_evaluable / n_total within each stratum; admin_censoring_rate = 1 - evaluable_share,69,13b,evaluable_cohorts.csv,"full_survival_cohort has no fixed horizon by construction (every source belongs, right-censored at study end if unlinked), so its own admin_censoring_rate is trivially 0 everywhere; it is included as a population definition, not as a horizon-based exclusion like the 12/24-month cohorts.",CALIBRATE
true_recurrence_prevalence,true recurrence prevalence,UNIDENTIFIED,"e.g. sweep true recurrence prevalence in {10%, 25%, 40%, 60%}",n/a,n/a,n/a (no BOAMP source establishes this),n/a,analyst judgment / literature-free,0,14,calib_unidentified_parameters_scenarios.csv,"No verified legal-renewal field exists in BOAMP; the pipeline's own event rate (29.7%/35.1%) is itself the output of an unvalidated scoring+threshold procedure, not a measurement of real renewal behaviour.",SCENARIO_KNOB
true_linkage_precision_recall,true linkage precision recall,UNIDENTIFIED,"sweep precision/recall of the *injected* synthetic linker across a grid, e.g. precision in {0.6,0.75,0.9}, recall in {0.5,0.7,0.9}",n/a,n/a,n/a (no BOAMP source establishes this),n/a,analyst judgment / literature-free,0,14,calib_unidentified_parameters_scenarios.csv,"Zero completed manual-validation labels exist; Fellegi-Sunter EM estimates in 03_analysis are explicitly model-based, not ground-truth-validated.",SCENARIO_KNOB
true_buyer_entity_resolution_rate,true buyer entity resolution rate,UNIDENTIFIED,"sweep the fraction of buyer-name variants correctly resolved to one entity, e.g. {50%, 70%, 90%}",n/a,n/a,n/a (no BOAMP source establishes this),n/a,analyst judgment / literature-free,0,14,calib_unidentified_parameters_scenarios.csv,No registry cross-validation of BOAMP-native buyer identity exists in this repo; the Layer 2 external SIREN join covers only 2024-2026 and the alias bridge is an unvalidated heuristic.,SCENARIO_KNOB
true_candidate_ambiguity_resolution,true candidate ambiguity resolution,UNIDENTIFIED,"vary the number of plausible-but-wrong candidates per true link, e.g. {0, 1-2, 3-5, 6+}, informed by §13's future-only candidate-density numbers",n/a,n/a,n/a (no BOAMP source establishes this),n/a,analyst judgment / literature-free,0,14,calib_unidentified_parameters_scenarios.csv,"Which candidate among several plausible same-buyer notices is the *correct* renewal is never verified; §15's rank-1 selection is a modelling choice, not ground truth.",SCENARIO_KNOB
true_text_corruption_process,true text corruption process,UNIDENTIFIED,"sweep text-similarity degradation severity for true-pair synthetic text, e.g. cosine similarity target ranges {0.3-0.5, 0.5-0.7, 0.7-0.9}",n/a,n/a,n/a (no BOAMP source establishes this),n/a,analyst judgment / literature-free,0,14,calib_unidentified_parameters_scenarios.csv,No ground truth exists for how procurement text varies between a true renewal pair vs. an unrelated notice; §10's exact-duplicate rate only measures literal repetition.,SCENARIO_KNOB
silver_error_cooccurrence_by_tier,Data-quality-defect co-occurrence among accepted links,SILVER_STANDARD,see table,rate,by threshold variant x confidence_tier,"data/processed/boamp_only/boamp_only_links_{broad,balanced,strict}.csv","cpv_missing,cpv_generic_flag,buyer_key_type,confidence_tier","groupby variant+confidence_tier, mean of flags",3009,15,calib_silver_error_cooccurrence_by_tier.csv,Conditional on the pipeline's own threshold-based acceptance; selection bias by construction; must not be used as an unconditional error rate or to estimate true linkage accuracy.,DO_NOT_CALIBRATE
silver_candidate_ambiguity,"Candidate-set size/margin at rank-1, by identifier/CPV quality",SILVER_STANDARD,see table,count / margin,by buyer_key_type x cpv_missing,data/processed/boamp_only/boamp_only_candidate_pairs.csv,"n_candidates_for_source,top1_top2_margin,buyer_key_type,cpv_missing",groupby median,2005,15,calib_silver_candidate_ambiguity_by_quality.csv,"Reflects the pipeline's own 6-month window and 30-candidate cap (config/pipeline.yaml); compare against Section 13's future-only environment rebuild, do not treat as the 'true' candidate density.",DO_NOT_CALIBRATE
text_similarity_by_pair_group,Text-similarity distributions across 8 structural pair groups (Work Package 6),OBSERVABLE,see table,cosine/Jaccard similarity,by pair_group,data/interim/boamp_common_prepared.csv,"objet_normalized,buyer_key,buyer_siret_clean,buyer_siren_clean,cpv_clean,cpv_division,buyer_name_normalized,notice_family_id","word TF-IDF cosine (reuses §10b fit), character 3-5gram TF-IDF cosine, token Jaccard, key-technical-term overlap, over bounded block-sampled pairs per group (capped per block and per group)",20923,15b,text_similarity_groups.csv,"Groups 2-7 are structural comparison groups built from block sampling (buyer/CPV/name co-occurrence), not verified recurrence truth; only group 1 (same provisional notice family, §10b) is a relatively strong observable relationship. Sentence embeddings were not computed (rejected earlier for CPU-only runtime, docs/methodology.md §5); lexical measures are used instead.",CALIBRATE
text_similarity_actual_candidate_pipeline,Text similarity among the pipeline's own rank-1 candidate pairs,SILVER_STANDARD,see table,cosine similarity,rank-1 candidates only,data/processed/boamp_only/boamp_only_candidate_pairs.csv,"s_text,composite_score,candidate_rank,n_candidates_for_source,top1_top2_margin","pipeline's own fitted TF-IDF s_text plus this section's independent char-ngram/token-Jaccard/key-term measures, joined on source/candidate notice id",2005,15b,text_similarity_groups.csv,"Sourced from the pre-threshold candidate pool (not accepted links), so this is a structural comparison group only — it shows what the pipeline's own blocking+scoring considers 'nearest', not a validated true-match population; never used to set synthetic ground truth (see §15).",DO_NOT_CALIBRATE
text_duplicate_groups,Exact-duplicate objet_normalized group sizes and buyer/CPV composition,OBSERVABLE,see table,count,by text_duplicate_group_id,data/interim/boamp_common_prepared.csv,"objet_normalized,buyer_key,cpv_clean","groupby exact-string objet_normalized, non-missing text only",45601,15b,text_duplicate_groups.csv,"Exact-string literal duplication only (lower bound on template reuse, same limitation as §10's exact_duplicate_text_rate); distinct from §10b provisional notice families, which additionally require same buyer_key, date proximity, and CPV compatibility.",CALIBRATE
text_hard_negative_sample,"Same-buyer, same-CPV-division, high-text-similarity pairs with distinct detailed CPV",OBSERVABLE,see table,cosine similarity,n/a (curated sample),data/interim/boamp_common_prepared.csv,"buyer_key,cpv_clean,cpv_division,objet_normalized,objet_clean","dedicated same-buyer/same-cpv_division/different-cpv_clean pool (distinct from the same_buyer_different_cpv pair_group, which requires differing cpv_division), filtered to word_tfidf_cosine >= the different_buyer_different_cpv baseline's own p90 (0.031), top 500 by similarity",500,15b,text_hard_negative_sample.csv,"A necessary stress case for the synthetic benchmark (an easy benchmark without these would overstate linker performance); the similarity threshold is anchored to this notebook's own baseline distribution, not an externally validated cutoff.",CALIBRATE
missingness_marginal_and_phi_wp8,Marginal rates and phi-correlation among 7 quality flags (Work Package 8),OBSERVABLE,see table,rate / correlation (-1..1),marginal + pairwise,data/interim/boamp_common_prepared.csv,"buyer_siret_clean,buyer_siren_clean,cpv_missing,cpv_generic_flag,duration_raw,objet_clean,objet_normalized,start_date_source,notice_type_normalized,buyer_key_type","mean of 0/1 flags; Pearson/phi correlation, pairwise-complete",84623,15c,missingness_marginal_rates.csv; missingness_phi_matrix.csv,"cpv_missing and cpv_generic are mutually exclusive states of the same field (cpv_generic_flag is False, not NaN, whenever CPV is absent), so their negative correlation is partly mechanical, not purely empirical; award_link_unresolved is APPEL_OFFRE-only (NaN elsewhere), matching §11's population restriction; name_fallback is excluded here (empirically identical to identifier_missing in this corpus, correlation exactly 1.0 - buyer_key_type takes only RAW_SIRET/NAME_FALLBACK values here, no RAW_SIREN rows observed) and kept only as an auxiliary flag for its one named joint pattern (next section).",CALIBRATE
missingness_conditional_rates_wp8,Conditional missingness rates by schema/notice-type/year/CPV/buyer-activity/department,OBSERVABLE,see table,rate,by stratum_dim x stratum_value (and schema x notice_type jointly),data/interim/boamp_common_prepared.csv,"schema_family,notice_type_normalized,publication_year,cpv_division,buyer_activity_tier,dept_primary","groupby each dimension (and the schema x notice_type pair), mean of each flag",84623,15c,calib_missingness_conditional_rates.csv; calib_missingness_by_schema_notice_type.csv,"Marginal-by-dimension tables condition on one variable at a time; only the schema x notice_type table is a genuine 2-way conditional view, which is what the §11 'Reasoning' example (legacy/eForms CPV-vs-duration trade-off) actually requires.",CALIBRATE
missingness_conditional_models_wp8,Per-flag L2-penalized logistic regression (odds ratios) with one schema x notice_type interaction,OBSERVABLE,see table,coefficient / odds ratio,by flag x term,data/interim/boamp_common_prepared.csv,"schema_family,notice_type_normalized,buyer_activity_tier,cpv_division,dept_primary,is_digital_scope,text_length,publication_year","sklearn LogisticRegression (default L2, C=1.0) per flag on one-hot main effects + a schema x notice_type interaction + standardized text_length/publication_year; train-set AUC reported as a diagnostic only",240,15c,missingness_conditional_models.csv,"Coefficients are L2-regularized point estimates, not inferential p-values (no statsmodels dependency was introduced); AUC is computed on the training population, not held out, so it is a fit-quality diagnostic, not a generalization estimate.",CALIBRATE
missingness_joint_patterns_wp8,"Five named co-occurring quality-issue patterns (rate, expected-under-independence, lift)",OBSERVABLE,see table,rate / lift,5 named patterns,data/interim/boamp_common_prepared.csv,"buyer_siret_clean,buyer_siren_clean,duration_raw,cpv_missing,cpv_generic_flag,objet_normalized,buyer_key_type,titulaire,annonce_lie,notice_type_normalized","for each named pair of flags: joint rate over the pairwise-complete population, divided by the product of marginal rates (lift); one of the five patterns (name_fallback + large_candidate_pool) additionally draws on the Layer 1 candidate pool (see next provenance row)",5,15c,missingness_joint_patterns.csv,unresolved_award_and_missing_contractor uses ATTRIBUTION-only fields (titulaire/annonce_lie) and is a different 'unresolved award' direction than §11's award_link_unresolved (which is about APPEL_OFFRE notices never receiving a resolved start date); the two must not be conflated.,CALIBRATE
missingness_large_candidate_pool_pattern,name_fallback + large_candidate_pool joint-pattern rate,SILVER_STANDARD,see table,rate / lift,1 named pattern,data/processed/boamp_only/boamp_only_candidate_pairs.csv,"n_candidates_for_source,candidate_rank","large_candidate_pool = n_candidates_for_source >= its own p75 among rank-1 rows, joined back onto common by notice_id",1,15c,missingness_joint_patterns.csv,"Sourced from the pre-threshold candidate pool (not accepted links), restricted to sources that reached candidate generation; a structural comparison only, never used to set synthetic ground truth (see §15).",DO_NOT_CALIBRATE
missingness_issue_count_and_upset_wp8,Top co-occurring quality-flag combinations and per-notice issue-count distribution,OBSERVABLE,see table,count,top 15 combinations; issue count 0-7,data/interim/boamp_common_prepared.csv,"buyer_siret_clean,buyer_siren_clean,duration_raw,cpv_missing,cpv_generic_flag,objet_normalized,buyer_key_type","groupby the 7 always-defined flags (excludes award_link_unresolved, APPEL_OFFRE-only), size per combination; row-wise sum of the same 7 flags for the issue count",15,15c,calib_missingness_upset_combinations.csv; calib_missingness_issue_count_distribution.csv,Restricted to the 7 flags defined on the full corpus so every notice contributes exactly one combination; award_link_unresolved is excluded from the combination signature for the same reason it is population-restricted elsewhere in this notebook.,CALIBRATE
human_review_queue_wp11,Blinded human-review queue sampled from 8 strata (Work Package 11),OBSERVABLE,see table,n/a (unlabeled sample),by review_stratum,data/processed/boamp_only/*; data/processed/enriched/*; data/interim/boamp_common_prepared.csv,"source_notice_id,candidate_notice_id,confidence_tier,top1_top2_margin,n_candidates_for_source,gap_months,buyer_activity_tier","stratified sampling (up to 8 cases per stratum) from real Layer 1/Layer 2 pipeline outputs and §15b's hard-negative sample; every reviewer-facing field (reviewer, decision, confidence, evidence, disagreement, final_adjudication) is emitted null",80,15d,human_review_queue_blinded.csv; human_review_queue_technical_join.csv,"This section produces zero labels - it only builds the queue a human still has to review. Scores/confidence tier/layer are held out of the blinded file and kept only in the technical join table, to avoid anchoring the reviewer on the pipeline's own decision (same practice as reports/final_single_reviewer_audit_guide.md).",CALIBRATE
